total_loss,mse_loss,kl_loss,sparse_loss
0.8587151964505514,0.8332825005054474,0.025312808713351842,0.00011988598998868838
0.4801715388894081,0.4490179816881816,0.031003879887672763,0.0001496834975114325
0.45358901967604953,0.4217335407932599,0.0316802435554564,0.00017524115901323967
0.2945885782440503,0.258105281740427,0.0362972435541451,0.00018604975775815547
0.1955018825829029,0.15434926996628442,0.04095165307323138,0.00020095163927180693
0.16793298597137132,0.12463433605929215,0.04307242870951692,0.0002262144977673112
0.13874336518347263,0.09364332010348637,0.044862801519533,0.0002372430171817541
0.1185753233730793,0.072172944744428,0.0461579884092013,0.00024438991749775596
0.11124642752110958,0.06348810779551665,0.04750017107774814,0.0002581500812084414
0.10202303777138393,0.053848947708805404,0.047909439696619906,0.0002646556531544775
0.0950166651358207,0.04663721782465776,0.04811044145996372,0.0002690083153235416
0.09205654636025429,0.042841093614697456,0.048937646516909204,0.00027780907597237575
0.08801948527495067,0.038790492030481495,0.04894690945123633,0.00028208954608999193
0.08430691249668598,0.03515292517840862,0.04886880796402693,0.00028517895164744306
0.08306168454388778,0.03335166722536087,0.04941864808400472,0.00029137134454989183
0.08066431681315105,0.03106777121623357,0.049302016850560904,0.00029452689341269433
0.07838403061032295,0.028942639629046123,0.04914457521711787,0.00029681518450767425
0.07767715553442638,0.027820460498332977,0.049555021027723946,0.0003016744691800947
0.07614551857113838,0.02637260981524984,0.049468896041313805,0.000304012413835153
0.0745544812331597,0.024902750582744677,0.04934592063849171,0.0003058110354080175
0.07421212395032246,0.024242131505161524,0.04966056952252984,0.00030942410133623827
0.07324308343231678,0.023307055234909058,0.049624706618487835,0.0003113199200015515
0.07197274267673492,0.022078041763355333,0.04958197086428603,0.00031273098041613895
0.07179674940804641,0.021669116026411455,0.04981200893719991,0.0003156238963128999
0.07104648215075333,0.0209438381716609,0.04978561541065574,0.0003170320997014642
0.07031701939801376,0.020242622432609398,0.04975630187739929,0.0003180966232321225
0.07011100215216477,0.01986222341656685,0.04992846756552657,0.0003203113568209422
0.06952984755237897,0.019277412133912247,0.049930988966176905,0.00032144912984222174
0.06896316322187583,0.0187226515263319,0.049918252819528185,0.0003222612091728176
0.06884967846175034,0.018456466495990753,0.05006912692139546,0.00032408610422862694
0.06843973447879155,0.018048093498994906,0.05006658115113775,0.00032506324350833893
0.06786681897938251,0.01742645842023194,0.05011463429157933,0.00032572778582107276
0.06779455517729123,0.017268151588117082,0.05019935096303622,0.0003270537539113623
0.06755034377177556,0.017006821775188048,0.050215772508333124,0.00032775389263406396
0.06707845100512107,0.016556223000710208,0.050194122828543186,0.00032810647583877045
0.06703386704126994,0.01643920612211029,0.050265655387192965,0.00032900609949138016
0.0667752909163634,0.01616028176310162,0.05028556675339738,0.0003294425259809941
0.06672678825755914,0.016058262592802446,0.05033861488724748,0.00032991203139924136
0.06670379141966502,0.015969951093817752,0.05040305138876041,0.00033078794755662483
0.06606725292901199,0.015319334731126824,0.05041666577259699,0.00033125447225756943
0.06576239503920078,0.015033329914634427,0.05039757847165068,0.0003314886804825316
0.06570802442729473,0.014944720935697356,0.050431282725185156,0.0003320212344988249
0.0653847015152375,0.01464337840055426,0.050409110728651285,0.00033221126068383455
0.06508064394195874,0.014359133240456382,0.05038924158240358,0.00033227003101880354
0.06507215866198142,0.0143503713576744,0.05038934418310722,0.00033244251729532454
0.06501012140264113,0.014305479358881712,0.05037216811130444,0.00033247732790187
0.06472523510456085,0.013986214141671857,0.050406418119867645,0.00033260274115794647
0.06468768169482549,0.013970253290608525,0.05038480026026567,0.00033262975193792954
0.06429328521092732,0.013626497083654007,0.050334105268120766,0.0003326817532069981
0.06425469865401585,0.013621472520753741,0.05030076283340653,0.0003324643863985936
0.06421388344218333,0.013611318776383996,0.05027027474716306,0.0003322893656635036
0.0641821784277757,0.013595051442583403,0.050254994382460914,0.0003321321273688227
0.06446177139878273,0.013909939133251706,0.050220022754122816,0.0003318096690539581
0.06447076704353094,0.014005159803976616,0.050134201378872,0.0003314057515429643
0.06400954940666755,0.01354819031742712,0.050130107129613556,0.0003312495246063918
0.06345440012713273,0.012995540086800853,0.05012773986284932,0.0003311203230017175
0.06342983556290467,0.013033859121302763,0.050065110282351576,0.00033086655457736924
0.06316865887492895,0.012736632333447536,0.05010117528339227,0.0003308540617581457
0.06292313523590565,0.012464814741785327,0.050127474746356405,0.0003308458690298721
0.0628771757086118,0.012427885473395387,0.05011825015147527,0.0003310409204762739
0.06316886904338996,0.012720988985771934,0.05011693248525262,0.0003309470776002854
0.06296425157537063,0.012476640831058225,0.05015646123016874,0.0003311502223368734
0.0629681550587217,0.012494071541974941,0.050142867801090084,0.00033121563562114414
0.0624107684319218,0.011952685890719295,0.050126692901055016,0.0003313892229925841
0.06210970009366671,0.011713729938492179,0.0500649893656373,0.0003309807677093583
0.06205310268948475,0.011762483278289437,0.049960316314051546,0.00033030292494610575
0.06206273256490628,0.011766574578359723,0.04996612279986342,0.00033003551652655005
0.06213245323548714,0.011781983232746521,0.05002027858669559,0.0003301923109878165
0.06213002993414799,0.01180421879204611,0.049995400166759886,0.0003304109559394419
0.06165907780329386,0.011359819831947485,0.049968788865953684,0.0003304709680378437
0.06130247563123703,0.011010866146534681,0.049961492108802,0.00033011798465546843
0.061345092952251434,0.011166963105400404,0.04984873238330086,0.0003293965079744036
0.06129213981330395,0.011112949810922146,0.04984984484811624,0.00032934409682638943
0.0610134449476997,0.010821610456332564,0.04986271712308129,0.0003291177296584162
0.060972253481547035,0.010839917386571566,0.04980337821568052,0.000328959552765203
